topology,num_nodes,num_hops,tx_packets,rx_packets,tx_bytes,rx_bytes,packet_loss_pct,throughput_mbps,avg_delay_ms,avg_jitter_ms
chain,3,2,14336,14330,14688256,14681910,0.041866,1.9536,0.5612,0.0082
chain,4,3,14336,14298,14688256,14655252,0.265067,1.9481,0.8934,0.0196
chain,5,4,14336,14201,14688256,14555826,0.941574,1.9296,1.2547,0.0415
chain,6,5,14336,13985,14688256,14334430,2.448467,1.8958,1.7823,0.0734
chain,7,6,14336,13612,14688256,13951896,5.050335,1.7985,2.4105,0.1198
chain,8,7,14336,13024,14688256,13349392,9.150223,1.7102,3.1247,0.1856
chain,9,8,14336,12198,14688256,12502830,14.912304,1.5892,3.8912,0.2734
chain,10,9,14336,11087,14688256,11363154,22.668065,1.4224,4.5634,0.3815
chain,11,10,14336,9724,14688256,9966168,32.161155,1.2187,5.0123,0.4912
chain,12,11,14336,8102,14688256,8304516,43.472980,0.9845,5.4012,0.6234
cluster,12,3,14336,14331,14688256,14682934,0.034877,1.9601,1.1923,0.0152
