topology,num_nodes,num_hops,flow_id,src,dst,tx_packets,rx_packets,tx_bytes,rx_bytes,packet_loss_pct,throughput_mbps,avg_delay_ms,avg_jitter_ms
chain,3,2,1,10.1.0.1,10.1.0.3,14404,14404,15153008,15153008,0.000000,2.054799,0.890626,0.010343
chain,4,3,1,10.1.0.1,10.1.0.4,13911,12920,14634372,13591840,7.123859,1.843084,1.393313,0.015515
chain,5,4,1,10.1.0.1,10.1.0.5,12626,12100,13282552,12729200,4.166007,1.726094,1.892889,0.019896
chain,6,5,1,10.1.0.1,10.1.0.6,14404,13327,15153008,14020004,7.477090,1.901112,2.392464,0.024415
chain,7,6,1,10.1.0.1,10.1.0.7,13436,12429,14134672,13075308,7.494790,1.772997,2.889210,0.027435
chain,8,7,1,10.1.0.1,10.1.0.8,12298,10612,12937496,11163824,13.709546,1.513789,3.398224,0.041229
chain,9,8,1,10.1.0.1,10.1.0.9,12153,10098,12784956,10623096,16.909405,1.464528,3.904616,0.047073
chain,10,9,1,10.1.0.1,10.1.0.10,12227,10746,12862804,11304792,12.112538,1.532878,4.402167,0.045532
chain,11,10,1,10.1.0.1,10.1.0.11,10888,10058,11454176,10581016,7.623071,1.434725,4.904281,0.060268
chain,12,11,1,10.1.0.1,10.1.0.12,11113,9673,11690876,10175996,12.957797,1.379795,5.401032,0.064011
cluster,12,3,1,10.1.1.2,10.1.3.4,14404,14403,15153008,15151956,0.006943,2.054646,1.186065,0.014815
